***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.6 alpha_2=0.4 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
HBPP_20000108_01750.C	95	17.000	63.800	0.022
HBPP_20005008_01240.C	94	14.200	62.080	0.049
HBPP_20005009_02000.C	105	15.200	69.080	0.023
HBPP_20005010_09530.C	112	12.200	72.080	0.018
HBPP_20015007_06370.C	91	11.400	59.160	0.013
HBPP_20015009_02720.C	120	20.600	80.240	0.058
BPP_100_1000_0.1_0.8_0.C	51	1.200	31.080	0.010
BPP_100_1000_0.1_0.8_1.C	50	1.800	30.720	0.014
BPP_100_1000_0.1_0.8_2.C	49	4.400	31.160	0.005
BPP_100_1000_0.1_0.8_3.C	48	1.600	29.440	0.008
BPP_100_1000_0.1_0.8_4.C	49	1.200	29.880	0.011
BPP_100_1000_0.1_0.8_5.C	50	7.400	32.960	0.003
BPP_100_1000_0.1_0.8_6.C	49	3.200	30.680	0.009
BPP_100_1000_0.1_0.8_7.C	50	2.600	31.040	0.017
BPP_100_1000_0.1_0.8_8.C	57	2.600	35.240	0.004
BPP_100_1000_0.1_0.8_9.C	47	2.800	29.320	0.010
BPP_100_100_0.1_0.8_0.C	51	4.200	32.280	0.010
BPP_100_100_0.1_0.8_1.C	52	3.200	32.480	0.006
BPP_100_100_0.1_0.8_2.C	47	5.200	30.280	0.009
BPP_100_100_0.1_0.8_3.C	52	4.800	33.120	0.019
BPP_100_100_0.1_0.8_4.C	59	1.200	35.880	0.005
BPP_100_100_0.1_0.8_5.C	54	2.000	33.200	0.016
BPP_100_100_0.1_0.8_6.C	49	1.200	29.880	0.016
BPP_100_100_0.1_0.8_7.C	53	0.800	32.120	0.006
BPP_100_100_0.1_0.8_8.C	48	1.200	29.280	0.013
BPP_100_100_0.1_0.8_9.C	51	1.000	31.000	0.015
BPP_100_120_0.1_0.8_0.C	47	6.600	30.840	0.015
BPP_100_120_0.1_0.8_1.C	50	7.000	32.800	0.003
BPP_100_120_0.1_0.8_2.C	49	1.200	29.880	0.002
BPP_100_120_0.1_0.8_3.C	56	0.600	33.840	0.004
BPP_100_120_0.1_0.8_4.C	53	1.200	32.280	0.004
BPP_100_120_0.1_0.8_5.C	49	5.600	31.640	0.006
BPP_100_120_0.1_0.8_6.C	49	5.800	31.720	0.004
BPP_100_120_0.1_0.8_7.C	58	2.600	35.840	0.004
BPP_100_120_0.1_0.8_8.C	48	3.600	30.240	0.004
BPP_100_120_0.1_0.8_9.C	49	1.600	30.040	0.011
BPP_100_125_0.1_0.8_0.C	53	9.400	35.560	0.008
